date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-04-12 12:51:45.350000+00:00,81,29.769,40.182,23.373,239,269,False,93.324,2,1257,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]",10009,309
2025-04-12 12:51:57.923000+00:00,22,75.363,62.018,25.444,115,219,True,162.825,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,96
2025-04-12 12:52:14.120000+00:00,18,50.463,64.775,37.777,112,144,False,153.015,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,137
2025-04-12 12:52:21.035000+00:00,14,52.262,73.102,34.294,140,146,False,159.658,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,155
2025-04-12 12:52:32.173000+00:00,27,80.907,69.071,35.292,82,141,True,185.27,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,149
2025-04-12 12:52:33.436000+00:00,10,46.75,71.419,41.32,138,136,False,159.489,6,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,260
2025-04-12 12:52:44.479000+00:00,4,72.297,69.295,33.269,167,133,True,174.861,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,117
2025-04-12 12:52:54.748000+00:00,55,30.508,41.162,23.744,238,269,False,95.414,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]",10009,314
2025-04-12 12:53:02.141000+00:00,16,30.098,40.996,23.441,238,264,False,94.535,5,1257,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2048, 2051, 2051, 2051, 2048, 2049]",10009,317
2025-04-12 12:53:03.091000+00:00,87,31.809,44.354,24.867,228,235,False,101.03,8,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,300
2025-04-12 12:53:10.224000+00:00,23,30.377,41.717,23.873,234,266,False,95.967,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",10009,314
2025-04-12 12:53:18.595000+00:00,81,43.73,63.353,36.577,148,154,False,143.66,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,166
2025-04-12 12:53:29.282000+00:00,6,,59.596,33.423,138,164,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,126
2025-04-12 12:53:43.773000+00:00,30,,60.575,29.729,154,105,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,132
2025-04-12 12:54:09.617000+00:00,12,,56.307,26.52,151,175,True,,1,1257,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10009,124
2025-04-12 12:54:12.574000+00:00,22,30.206,41.248,23.511,237,272,False,94.965,5,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2049, 2049, 2049, 2048]",10009,316
2025-04-12 12:54:30.097000+00:00,55,49.291,69.063,42.072,160,82,False,160.426,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,112
2025-04-12 12:54:35.048000+00:00,7,78.946,65.323,25.334,137,224,True,169.603,7,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",10009,101
2025-04-12 12:54:36.565000+00:00,16,53.214,71.388,37.166,106,140,False,161.768,6,1257,"[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,193
2025-04-12 12:54:44.151000+00:00,87,31.898,44.928,24.963,,235,False,101.789,9,1257,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10009,294
2025-04-12 12:54:46.003000+00:00,23,51.73,66.901,35.968,75,145,False,154.599,3,1257,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10009,126
2025-04-12 12:55:00.896000+00:00,14,48.797,64.365,34.913,127,105,False,148.075,4,1257,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,263
2025-04-12 12:55:11.159000+00:00,4,30.017,40.46,23.444,238,269,False,93.921,5,1257,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2049]","[2048, 2051, 2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2048, 2048, 2048]",10009,310
2025-04-12 12:55:15.338000+00:00,18,74.085,68.463,28.073,119,139,True,170.621,4,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,139
2025-04-12 12:55:18.541000+00:00,27,30.032,40.946,23.658,238,271,False,94.636,5,1257,"[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2048, 2049]",10009,317
2025-04-12 12:55:42.391000+00:00,10,77.145,68.238,26.028,112,157,True,171.411,7,1257,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",10009,103
